Date : 2026-01-14 14:07:12
Directory : c:\Users\Lzx_8\Documents\github\e_monopoly\src
Total : 66 files,  5751 codes, 14 comments, 874 blanks, all 6639 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |         66 |      5,751 |         14 |        874 |      6,639 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\usecases\turn_usecase.lua       | Lua      |         36 |          0 |          7 |         43 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\chance.lua                   | Lua      |        233 |          0 |         28 |        261 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\effect.lua                   | Lua      |         72 |          0 |         16 |         88 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_board_utils.lua         | Lua      |         56 |          0 |          8 |         64 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_executor.lua            | Lua      |        247 |          0 |         31 |        278 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_inventory.lua           | Lua      |         48 |          0 |         11 |         59 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_missile.lua             | Lua      |        117 |          0 |         15 |        132 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_monster.lua             | Lua      |         40 |          0 |          6 |         46 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_post_effects.lua        | Lua      |        196 |          0 |         25 |        221 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_roadblock.lua           | Lua      |        156 |          0 |         18 |        174 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_steal.lua               | Lua      |        122 |          0 |         18 |        140 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_strategy.lua            | Lua      |        115 |          0 |         16 |        131 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\domain\item_world_ops.lua           | Lua      |         23 |          0 |          4 |         27 |
